movie_id,title_ko,title_en,gubun,genre,nation,theater_admissions,online_cumulative,seat_cnt,lifetime_vod,first_year_vod,online_open,theater_open
FS20134804,타짜-신의 손,Tazza-The Hidden Card,일반영화,드라마,한국,4015361,790466,14866494,790466,530726,2014-10-15,2014-09-03
FS20179189,암수살인,Dark Figure of Crime,일반영화,"범죄,드라마",한국,3789553,787233,20872725,787233,745193,2018-10-30,2018-10-03
FS20212866,서울의 봄,12.12: THE DAY,일반영화,드라마,한국,13128588,783453,55638159,783453,754220,2023-11-22,
FS20188750,나쁜 녀석들: 더 무비,The Bad Guys: Reign of Chaos,일반영화,"범죄,액션",한국,4573902,780964,19834145,780964,716754,2019-10-07,2019-09-11
FS20176122,안시성,The Great Battle,일반영화,"사극,액션",한국,5441279,768831,18784572,768831,723801,2018-10-23,2018-09-19
FS20020222,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,일반영화,드라마,미국,137833,764751,357123,764751,19613,2013-11-25,2002-12-13
FS20215601,공조2: 인터내셔날,Confidential Assignment2: International,일반영화,"액션,코미디",한국,6983077,760643,42905663,760643,753284,2022-10-14,2022-09-07
FS20148846,사도,The Throne,일반영화,사극,한국,6247872,759671,23207153,759671,642939,2015-10-26,2015-09-16
FS20175222,킹스맨: 골든 서클,Kingsman: The Golden Circle,일반영화,"액션,어드벤처,코미디",미국,4945484,757949,16846324,757949,646711,2017-10-26,2017-09-27
FS20170561,블랙 팬서,Black Panther,일반영화,"액션,드라마,SF",미국,5400241,754054,22095926,754054,639241,2018-05-23,2018-02-14
FS20133322,인간중독,Obsessed,일반영화,"멜로/로맨스,드라마",한국,1441990,753158,7400067,753158,45773,2016-06-02,2014-05-14
FS20167303,스파이더맨: 홈 커밍,Spider-Man: Homecoming,일반영화,"액션,어드벤처,SF",미국,7258678,750974,29858419,750974,561363,2017-09-12,2017-07-05
FS20192193,도굴,Collectors,일반영화,범죄,한국,1545281,750455,22875738,750378,738642,2020-12-16,2020-11-04
FS20175121,토르: 라그나로크,THOR: RAGNAROK,일반영화,"액션,어드벤처,판타지,SF",미국,4858572,749108,25879390,749108,583965,2018-01-25,2017-10-25
FS20177221,베놈,Venom,일반영화,"액션,SF,스릴러",미국,3888096,748151,20599154,748151,617170,2018-12-04,2018-10-03
FS20139201,신의 한 수,The Divine Move,일반영화,"범죄,액션",한국,3566852,743482,12933358,743482,21837,2016-07-14,2014-07-03
FS20176104,그것만이 내 세상,Keys to the Heart,일반영화,"코미디,드라마",한국,3420766,743185,16173934,743185,647050,2018-02-19,2018-01-17
FS20167904,라라랜드,LA LA LAND,일반영화,"드라마,뮤지컬,멜로/로맨스",미국,3802166,742144,18368010,742144,427079,2017-04-17,2016-12-07
FS20124066,은교,Eungyo,일반영화,멜로/로맨스,한국,1346511,735572,6459136,735572,118520,2012-10-14,2012-04-25
FS20124935,박수건달,Man on the Edge,일반영화,코미디,한국,3897969,734126,11322514,734126,689972,2013-03-04,2013-01-09
FS20184462,봉오동 전투,The Battle: Roar to Victory,일반영화,"사극,액션,드라마",한국,4788285,729373,17121812,729373,683586,2019-09-02,2019-08-07
FS20124083,베를린,The Berlin File,일반영화,액션,한국,7166944,729105,20730922,729105,556142,2013-04-23,2013-01-30
FS20198414,시동,START-UP,일반영화,드라마,한국,3318938,727192,13035494,727192,695444,2020-01-10,2019-12-18
FS20224882,마녀(魔女) Part2. The Other One,The Witch: Part 2. The Other One,일반영화,액션,한국,2806503,724612,13709245,724612,698660,2022-07-07,2022-06-15
FS20161725,마스터,Master,일반영화,"액션,범죄",한국,7150586,716440,23865930,716440,630432,2016-12-23,2016-12-21
FS20166488,미이라,The Mummy,일반영화,"액션,어드벤처,판타지",미국,3689325,715388,20149669,715388,667376,2017-06-28,2017-06-06
FS20154910,터널,Tunnel,일반영화,드라마,한국,7120905,712800,22439849,712800,648002,2016-08-08,2016-08-10
FS20151383,마션,The Martian,일반영화,"액션,어드벤처,SF",미국,4887144,707050,22279754,707050,579500,2015-11-26,2015-10-08
FS20199883,오케이 마담,OK! MADAM,일반영화,"코미디,액션",한국,1229372,701712,12322005,701712,691214,2020-09-11,2020-08-12
FS20113554,내 아내의 모든 것,All About My Wife,일반영화,"코미디,멜로/로맨스",한국,4598985,701116,15835699,701065,186944,2012-10-14,2012-05-17
FS20148493,어벤져스: 에이지 오브 울트론,The Avengers: Age of Ultron,일반영화,"액션,어드벤처,판타지,SF",미국,10504487,700244,35450061,700244,379715,2015-09-15,2015-04-23
FS20180939,남산의 부장들,The Man Standing Next,일반영화,드라마,한국,4750917,699707,24038916,699707,671785,2020-02-11,2020-01-22
FS20180290,아쿠아맨,AQUAMAN,일반영화,액션,미국,5041187,696687,18459269,696687,623310,2019-01-18,2018-12-19
FS20148855,극비수사,The Classified File,일반영화,"드라마,범죄",한국,2860786,695310,10955576,695310,625126,2015-07-13,2015-06-18
FS20121621,아이언맨 3,Iron Man 3,일반영화,"액션,어드벤처,SF",미국,9006173,687307,31541011,687307,478287,2013-07-22,2013-04-25
FS20149314,내부자들,Inside Men,일반영화,"범죄,드라마",한국,7073581,684466,28753022,684466,555596,2016-01-05,2015-11-19
FS20181181,미션 임파서블: 폴아웃,Mission:Impossible- Fallout,일반영화,"액션,스릴러",미국,6589061,676969,16466285,676969,61551,2019-04-30,2018-07-25
FS20181434,신의 한 수: 귀수편,The Divine Move 2: The Wrathful,일반영화,"범죄,액션",한국,2159081,676952,13851314,676952,654865,2019-12-04,2019-11-07
FS20123681,뽀로로 극장판 슈퍼썰매 대모험,Pororo: The Racing Adventure,일반영화,애니메이션,한국,931953,670709,3026544,670709,23078,2014-07-30,2013-01-23
FS20193321,정직한 후보,HONEST CANDIDATE,일반영화,코미디,한국,1539528,670474,14104756,670474,634730,2020-03-13,2020-02-12
FS20139183,역린,The Fatal Encounter,일반영화,사극,한국,3849700,670071,14777515,670071,583555,2014-05-28,2014-04-30
FS20177552,국가부도의 날,Default,일반영화,드라마,한국,3755495,669053,18073312,669053,627347,2018-12-27,2018-11-28
FS20140431,메이즈 러너,The Maze Runner,일반영화,"액션,미스터리,SF,스릴러",미국,2812427,665841,12952453,665841,128108,2015-05-07,2014-09-18
FS20176251,내안의 그놈,The Dude in Me,일반영화,"판타지,코미디",한국,1917999,663914,9441536,663914,622055,2019-01-31,2019-01-09
FS20159646,밀정,The Age of Shadows,일반영화,액션,한국,7500457,662429,25841269,662429,574818,2016-08-30,2016-09-07
FS20135428,어바웃 타임,ABOUT TIME,일반영화,"멜로/로맨스,코미디",영국,3455555,654650,10848883,654650,255375,2014-03-03,2013-12-05
FS20126469,브레이킹 던 part2,The Twilight Saga: Breaking Dawn Part 2,일반영화,"드라마,판타지,멜로/로맨스",미국,2654817,653515,10708906,653515,312054,2013-03-04,2012-11-15
FS20184572,타짜: 원 아이드 잭,Tazza: One Eyed Jack,일반영화,"범죄,드라마",한국,2229311,649020,10109340,649020,633272,2019-10-02,2019-09-11
FS20145503,검은 사제들,The Priests,일반영화,"미스터리,드라마",한국,5443366,648337,22814475,648337,554309,2015-12-08,2015-11-05
FS20122089,슈퍼배드 2,Despicable Me 2,일반영화,애니메이션,미국,963763,646765,2442570,646765,200014,2013-12-10,2013-09-12
FS20192101,히트맨,HITMAN: AGENT JUN,일반영화,"코미디,액션",한국,2406232,645758,13059130,645740,611985,2020-02-19,2020-01-22
FS20194376,탑건: 매버릭,Top Gun: Maverick,일반영화,액션,미국,8280938,644319,39376506,644319,588591,2022-08-04,2022-06-22
FS20161481,군함도,The Battleship Island,일반영화,"액션,드라마",한국,6592178,642760,18382862,642760,585861,2017-07-19,2017-07-26
FS20152022,인턴,The Intern,일반영화,코미디,미국,3611166,637409,12794973,637409,495594,2015-12-15,2015-09-24
FS20178161,탐정: 리턴즈,The Accidental Detective 2: In Action,일반영화,"코미디,범죄",한국,3152895,629867,18021285,629815,590521,2018-07-16,2018-06-13
FS20122122,월드 워 Z,World War Z,일반영화,"드라마,스릴러,SF,액션,어드벤처",미국,5244336,628440,18343987,628440,403969,2013-09-11,2013-06-20
FS20040598,해리포터와 아즈카반의 죄수,Harry Potter And The Prisoner Of Azkaban,일반영화,드라마,미국,1865485,627845,4964627,627845,14495,2013-12-02,2004-07-16
FS20126674,설국열차,Snowpiercer,일반영화,"SF,액션",한국,9354928,626610,22925568,626610,450845,2014-03-27,2013-08-01
FS20156557,탐정 : 더 비기닝,THE ACCIDENTAL DETECTIVE,일반영화,"코미디,범죄",한국,2625686,625979,8717840,625709,439056,2015-11-04,2015-09-24
FS20196270,싱크홀,Sinkhole,일반영화,"드라마,코미디,기타",한국,2195961,624862,18297551,624862,618680,2021-08-30,2021-08-11
FS20179101,공작,The Spy Gone North,일반영화,드라마,한국,4975637,622284,16216466,622199,591618,2018-09-07,2018-08-08
FS20174846,뽀로로 극장판 공룡섬 대모험,"Pororo, Dinosaur Island Adventure",일반영화,애니메이션,한국,827338,620916,2659449,620916,388053,2017-12-20,2017-12-07
FS20126672,은밀하게 위대하게,Secretly Greatly,일반영화,"액션,코미디,드라마",한국,6959083,618498,20983056,618305,39974,2014-02-10,2013-06-05
FS20123501,군도: 민란의 시대,KUNDO : Age of the Rampant,일반영화,"사극,액션",한국,4776071,618068,11868925,618068,537644,2014-08-27,2014-07-23
FS20138881,나우 유 씨 미 : 마술사기단,Now You See Me,일반영화,"범죄,액션,스릴러",미국,2718237,616365,9909425,616365,294741,2013-09-23,2013-08-22
FS20112695,완득이,Punch,일반영화,드라마,한국,5311353,616300,24664313,616229,34787,2012-10-14,2011-10-20
FS20193450,반도,Peninsula,일반영화,"액션,드라마",한국,3813006,615492,31524715,615492,596632,2020-07-14,2020-07-15
FS20149120,인터스텔라,Interstellar,일반영화,SF,미국,10387691,606339,33211276,606339,406969,2015-02-25,2014-11-06
FS20122783,감시자들,Cold Eyes,일반영화,"범죄,액션",한국,5509019,602232,18035158,602158,501842,2013-08-07,2013-07-03
FS20180868,뺑반,Hit-and-Run Squad,일반영화,"범죄,액션",한국,1827054,600799,6407761,600728,584297,2019-02-14,2019-01-30
FS20136049,숨바꼭질,Hide and Seek,일반영화,스릴러,한국,5604106,599385,16431691,599385,491739,2013-09-25,2013-08-14
FS20159364,캡틴 아메리카: 시빌 워,Captain America: Civil War,일반영화,"액션,SF,스릴러",미국,8678761,599308,29150039,599308,298152,2016-09-28,2016-04-27
FS20143580,분노의 질주: 더 세븐,Fast & Furious 7,일반영화,"액션,범죄,스릴러",미국,3248904,596198,17997389,596198,426877,2015-04-27,2015-04-01
FS20184082,걸캅스,Miss & Mrs. Cops,일반영화,"코미디,액션",한국,1629580,595546,8952353,595489,572425,2019-06-03,2019-05-09
FS20163603,가디언즈 오브 갤럭시 VOL. 2,Guardians of the Galaxy VOL. 2,일반영화,"액션,SF",미국,2736686,593801,11508664,593801,433154,2017-08-29,2017-05-03
FS20158621,스파이,Spy,일반영화,"액션,코미디",미국,2318748,593629,10453475,593629,432781,2015-06-22,2015-05-21
FS20124937,감기,Flu,일반영화,"드라마,어드벤처,액션",한국,3117859,593583,9288162,593583,391514,2013-09-24,2013-08-14
FS20136068,히말라야,The Himalayas,일반영화,드라마,한국,7760011,589286,26573780,589286,539929,2016-02-03,2015-12-16
FS20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,일반영화,"액션,드라마",한국,1094404,587250,5666181,587250,571393,2019-07-01,2019-06-19
FS20189783,챔피언,Champion,일반영화,드라마,한국,1128774,584906,6240031,584906,557247,2018-05-18,2018-05-01
FS20185485,보헤미안 랩소디,Bohemian Rhapsody,일반영화,드라마,미국,9948386,584571,38418353,584571,481378,2019-01-22,2018-10-31
FS20162365,신비한 동물사전,Fantastic Beasts and Where to Find Them,일반영화,"어드벤처,가족,판타지",미국,4669702,583475,21556808,583475,448227,2017-01-11,2016-11-16
FS20218541,밀수,Smugglers,일반영화,"범죄,액션",한국,5143751,582928,24426136,582928,575890,2023-09-15,2023-07-26
FS20151803,쿵푸팬더3,Kung Fu Panda 3,일반영화,"애니메이션,액션,어드벤처",미국,3984814,582420,16762679,582420,421874,2016-02-24,2016-01-28
FS20050310,해리 포터와 불의 잔,Harry Potter and the Goblet of Fire,일반영화,"액션,판타지",미국,3499257,577727,9281989,577727,9881,2013-11-25,2005-12-01
FS20149951,빅 히어로,Big Hero 6,일반영화,"애니메이션,액션,코미디",미국,2801949,573338,10265191,573338,383742,2015-02-16,2015-01-21
FS20149317,가디언즈 오브 갤럭시,Guardians of the Galaxy,일반영화,"액션,어드벤처,SF",미국,1345257,573234,3416131,573234,249278,2014-11-03,2014-07-31
FS20124054,늑대소년,A Werewolf Boy,일반영화,"멜로/로맨스,드라마,판타지",한국,6655821,570103,22835626,569866,509164,2012-10-31,
FS20130442,끝까지 간다,A Hard Day,일반영화,"액션,스릴러,범죄",한국,3450388,569841,13796330,569841,434625,2014-07-23,2014-05-29
FS20157881,미션 임파서블: 로그네이션,Mission: Impossible - Rogue Nation,일반영화,"액션,스릴러,어드벤처",미국,6126488,567982,15159006,567982,411612,2015-09-09,2015-07-30
FS20168773,마약왕,The Drug King,일반영화,"범죄,드라마",한국,1864076,567833,7232831,567833,547744,2019-01-07,2018-12-19
FS20124938,용의자,The Suspect,일반영화,"액션,스릴러",한국,4131338,566356,11598489,566356,441009,2014-02-03,2013-12-24
FS20184483,퍼펙트맨,Man of Men,일반영화,"코미디,드라마",한국,1240085,565409,6552157,565409,535010,2019-10-21,2019-10-02
FS20125333,전설의 주먹,Fists of Legend,일반영화,"드라마,액션",한국,1744585,565122,10234839,565059,481717,2013-06-11,2013-04-10
FS20171909,쥬만지: 새로운 세계,Jumanji: Welcome to the Jungle,일반영화,"액션,어드벤처",미국,1711246,564164,5954741,564164,482463,2018-01-30,2018-01-03
FS20134181,오블리비언,Oblivion,일반영화,"액션,SF",미국,1515356,563091,8979484,563091,475196,2013-07-09,2013-04-11
FS20173403,슈퍼배드 3,Despicable Me 3,일반영화,애니메이션,미국,3326109,561945,8283672,561945,343087,2017-08-29,2017-07-26
FS20165450,남한산성,The Fortress,일반영화,"사극,드라마",한국,3849159,561308,12338670,561308,508892,2017-11-06,2017-10-03
FS20204117,모가디슈,Escape from Mogadishu,일반영화,"액션,드라마",한국,3620185,557045,31769624,557045,550553,2021-10-06,2021-07-28
FS20176103,돈,Money,일반영화,범죄,한국,3389249,552831,20089965,552831,538771,2019-04-15,2019-03-20
FS20144641,판도라,Pandora,일반영화,"드라마,스릴러",한국,4585116,548116,17643444,548116,497786,2017-01-13,2016-12-07
FS20110905,브레이킹 던 part1,The Twilight Saga: Breaking Dawn - Part 1,일반영화,"드라마,판타지,멜로/로맨스",미국,1462561,547414,8677237,547414,22902,2014-01-14,2011-11-30
FS20176848,데드풀 2,DEADPOOL 2,일반영화,"액션,어드벤처,코미디,SF",미국,3784602,546845,20078484,546845,497620,2018-06-12,2018-05-16
FS20170513,동네사람들,Ordinary People,일반영화,"액션,스릴러",한국,461693,545101,3159875,545101,20726,2019-09-30,2018-11-07
FS20167542,분노의 질주: 더 익스트림,The Fast and The Furious 8,일반영화,"액션,범죄,스릴러",미국,3659683,542929,21002832,542929,422073,2017-05-10,2017-04-12
FS20154661,형,MY ANNOYING BROTHER,일반영화,"코미디,드라마",한국,2982614,540643,14008495,540567,458430,2016-11-21,2016-11-23
FS20070063,해리 포터와 불사조 기사단,Harry Potter And The Order Of The Phoenix,일반영화,"판타지,액션,어드벤처",미국,3704053,540516,10776443,540516,8976,2013-12-02,2007-07-11
FS20193069,#살아있다,#ALIVE,일반영화,드라마,한국,1903992,539565,23547167,539565,530192,2020-07-17,2020-06-24
FS20090834,아바타,Avatar,,,미국,13338863,537969,34493523,537969,47846,2021-12-21,2009-12-17
FS20124062,연가시,Deranged,일반영화,,한국,4516063,537504,13592000,537504,193186,2012-10-14,2012-07-05
FS20124064,돈의 맛,The Taste of Money,일반영화,드라마,한국,1166107,535820,6130341,535654,78869,2012-10-14,2012-05-17
FS20180804,곤지암,GONJIAM: Haunted Asylum,일반영화,,한국,2689877,535202,14863037,535202,434900,2018-04-25,2018-03-28
FS20161872,너의 이름은.,your name.,일반영화,"애니메이션,드라마,멜로/로맨스",일본,3979592,532760,16153150,532760,316076,2017-07-25,2017-01-04
FS20162722,보안관,The Sheriff In Town,일반영화,"범죄,코미디",한국,2588628,532692,10492634,532692,473552,2017-04-28,2017-05-03
FS20111009,해리 포터와 죽음의 성물2,Harry Potter and the Deathly Hallows: Part 2,일반영화,"판타지,미스터리",미국,4446294,523273,14901978,523273,6755,2013-12-02,2011-07-13
FS20179462,위대한 쇼맨,The Greatest Showman,일반영화,"드라마,뮤지컬",미국,1741662,523252,10644188,523252,279396,2018-01-30,2017-12-20
FS20210028,스파이더맨: 노 웨이 홈,Spider-Man: No Way Home,일반영화,"액션,어드벤처,SF",미국,7552471,521916,43703264,521916,493805,2022-03-14,2021-12-15
FS20199950,조커,Joker,일반영화,"액션,드라마,스릴러",미국,5284344,520466,26316689,520466,453873,2019-10-30,2019-10-02
FS20090379,해리 포터와 혼혈 왕자,Harry Potter And The Half-Blood Prince,일반영화,"어드벤처,액션,가족",미국,3013595,519479,10008198,519479,10771,2013-11-25,2009-07-15
FS20205144,미나리,Minari,,,미국,1135436,516842,18313073,516842,505904,2021-04-14,2021-03-03
FS20149265,기술자들,The Con Artists,일반영화,"범죄,액션",한국,2564340,515838,7080881,515838,465147,2015-02-09,2014-12-24
